gender,word_count,average_sentence_length,average_word_length,total_count_punctuation,most_common_words,lexical_diversity,count_foreign_words,count_wh_words,sentiment_score,subjectivity_score,count_slang,pronoun_richness,count_VERB,count_.,"count_,",count_!,count_?,count_semi_colon,count_:,count_-,count_(,count_),count_[,count_],count_{,count_},count_<,count_>,count_/,count_\,count_|,count__,count_+,count_=,count_*,count_&,count_^,count_%,count_$,count_#,count_@,count_~,count_`,pronoun_density_I,pos_statistics_mean_count
male,146,36.5,1,21,article,0.602739726,146,0,-0.091414141,0.33989899,0,0,9,4,9,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.16666667
male,193,38.6,1,13,essay,0.538860104,193,3,0.057407407,0.32037037,0,0.031088083,15,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.78571429
male,154,30.8,1,13,1858,0.655844156,154,2,0.075,0.133333333,0,0.019480519,18,5,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.26666667
female,202,50.5,1,24,article,0.603960396,202,4,0.056944444,0.373958333,0,0.064356436,20,4,17,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004950495,13.46666667
female,218,31.14285714,1,17,article,0.642201835,218,7,0.223529412,0.447058824,0,0.032110092,22,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.53333333
female,89,44.5,1,8,article,0.696629213,89,2,0.029166667,0.304166667,0,0.011235955,9,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.416666667
male,173,28.83333333,1,17,article,0.578034682,173,3,0.101851852,0.542592593,0,0.052023121,15,6,3,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034682081,11.53333333
female,126,31.5,1,19,article,0.587301587,126,0,0.003703704,0.101851852,0,0.047619048,12,6,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4
male,172,34.4,1,19,Clonmacnoise,0.581395349,172,3,0.04,0.303333333,0,0.081395349,17,6,9,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.46666667
female,111,55.5,1,7,idea,0.72972973,111,4,0.017948718,0.205128205,0,0.036036036,10,1,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.538461538
female,172,34.4,1,13,article,0.598837209,172,1,0.096666667,0.181666667,0,0.040697674,11,5,4,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011627907,12.28571429
female,77,25.66666667,1,17,article,0.649350649,77,0,0.068181818,0.377272727,0,0.012987013,7,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.923076923
female,100,25,1,8,article,0.68,100,1,0.02,0.52,0,0.02,13,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333333333
female,95,47.5,1,9,choreographer,0.768421053,95,1,0.258333333,0.6375,0,0.115789474,8,2,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042105263,5.9375
female,90,30,1,11,Psychiatry,0.744444444,90,1,-0.083333333,0.083333333,0,0.066666667,9,3,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.428571429
female,95,31.66666667,1,7,Graham,0.673684211,95,1,-0.001333333,0.194666667,0,0.010526316,10,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.333333333
female,181,30.16666667,1,20,essay,0.596685083,181,0,0.180113636,0.539962121,0,0.044198895,16,6,6,0,0,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.06666667
male,134,44.66666667,1,8,article,0.544776119,134,1,0.209090909,0.438636364,0,0,11,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.571428571
female,161,40.25,1,16,article,0.677018634,161,3,0.0775,0.312692308,0,0.01242236,20,4,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5
male,156,39,1,14,article,0.615384615,156,0,0.051420455,0.503693182,0,0.025641026,14,4,3,0,0,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4
male,115,57.5,1,10,summation,0.643478261,115,1,0.12987013,0.523376623,0,0.052173913,14,2,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.583333333
male,118,39.33333333,1,8,Documents,0.728813559,118,1,0.053030303,0.295454545,0,0.008474576,11,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.866666667
male,167,41.75,1,18,Captain,0.628742515,167,1,0.169871795,0.546794872,0,0.023952096,12,4,11,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.13333333
male,237,26.33333333,1,29,paper,0.620253165,237,3,0.006666667,0.413333333,0,0.054852321,21,9,17,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.8
male,206,41.2,1,18,essay,0.606796117,206,3,0.259259259,0.403703704,0,0.048543689,30,5,4,0,0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.73333333
female,160,26.66666667,1,16,remains,0.7,160,0,-0.042307692,0.296794872,0,0.025,13,6,4,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.66666667
female,117,29.25,1,11,Eoghan,0.658119658,117,1,0.091666667,0.470833333,0,0.05982906,9,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008547009,7.8
female,132,33,1,14,author,0.757575758,132,4,0.208791209,0.403571429,2,0.022727273,21,3,2,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.428571429
female,111,27.75,1,13,1839,0.621621622,111,0,0,0.21,0,0.009009009,11,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.928571429
female,74,37,1,9,reflective,0.810810811,74,0,0,0.066666667,0,0.040540541,2,2,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013513514,5.692307692
male,114,28.5,1,13,decade,0.736842105,114,1,0.078205128,0.437179487,0,0.035087719,7,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.769230769
male,196,24.5,1,24,Recent,0.617346939,196,2,0.007919255,0.316614907,0,0.030612245,17,10,8,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005102041,13.06666667
female,71,35.5,1,5,essay,0.788732394,71,2,-0.041666667,0.291666667,0,0.028169014,6,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.461538462
female,108,36,1,10,Treatment,0.703703704,108,2,-0.052083333,0.179166667,0,0.027777778,15,3,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.714285714
female,112,37.33333333,1,13,essay,0.732142857,112,2,0.073333333,0.353333333,0,0.017857143,7,3,5,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
female,173,34.6,1,17,article,0.630057803,173,2,0.003305785,0.420110193,0,0.040462428,16,5,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.35714286
male,165,27.5,1,15,British,0.587878788,165,6,0.106892231,0.287030075,0,0.048484848,16,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
female,110,36.66666667,1,15,Approaching,0.709090909,110,1,0.140909091,0.433333333,0,0.054545455,5,3,4,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027272727,7.333333333
female,354,44.25,1,27,article,0.559322034,354,3,0.141042424,0.465230303,0,0.019774011,34,8,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6
female,125,31.25,1,11,Dada,0.64,125,3,0.02,0.27,2,0.032,19,4,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.928571429
male,182,45.5,1,21,cost,0.604395604,182,2,0.170588235,0.416289593,2,0.021978022,15,4,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010989011,12.13333333
female,172,34.4,1,14,Viking,0.63372093,172,4,0.093095238,0.36452381,0,0.034883721,19,4,6,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.28571429
female,179,35.8,1,18,paper,0.620111732,179,0,0.07,0.394166667,0,0.016759777,18,5,5,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.93333333
male,112,37.33333333,1,11,essay,0.705357143,112,0,-0.151515152,0.317171717,0,0.017857143,9,4,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008928571,8.615384615
male,243,48.6,1,21,Jonathan,0.621399177,243,3,0.035151515,0.456893939,0,0.041152263,20,5,11,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1875
male,116,38.66666667,1,15,author,0.672413793,116,2,-0.105952381,0.467857143,0,0.034482759,11,3,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.285714286
male,232,38.66666667,1,32,Despite,0.551724138,232,1,0.04537037,0.166975309,0,0.00862069,15,6,14,0,0,0,0,2,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5
female,272,30.22222222,1,24,article,0.639705882,272,4,0.04375,0.378869048,0,0.033088235,31,9,9,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
male,179,25.57142857,1,20,Unlike,0.586592179,179,7,-0.06656746,0.44702381,0,0.033519553,17,7,6,0,0,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.93333333
female,223,31.85714286,1,21,essay,0.529147982,223,1,0.061111111,0.430555556,0,0.053811659,22,7,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.92857143
male,219,54.75,1,19,Amazoniad,0.625570776,219,2,0.078981545,0.300427204,0,0.03652968,12,4,7,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6
female,159,31.8,1,13,article,0.58490566,159,2,0.123365231,0.219059011,0,0.031446541,14,5,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.35714286
male,205,34.16666667,1,15,article,0.52195122,205,2,0.030492424,0.300252525,0,0.029268293,15,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.64285714
female,107,35.66666667,1,13,1698,0.672897196,107,1,0.178787879,0.484848485,0,0.037383178,11,3,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.642857143
female,170,34,1,17,essay,0.611764706,170,1,0.066203704,0.384259259,0,0.017647059,9,5,10,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.33333333
female,167,33.4,1,13,Long,0.664670659,167,1,0.081944444,0.400555556,0,0.017964072,17,5,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005988024,11.92857143
male,267,38.14285714,1,33,recent,0.520599251,267,2,0.012878788,0.500757576,0,0.037453184,16,9,13,0,0,0,1,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.07142857
male,237,26.33333333,1,24,Daniel,0.582278481,237,2,0.07046131,0.505357143,0,0.071729958,13,9,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004219409,15.8
female,171,34.2,1,20,article,0.578947368,171,3,0.079166667,0.233333333,0,0.035087719,18,5,9,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4
female,172,34.4,1,14,Viking,0.63372093,172,4,0.093095238,0.36452381,0,0.034883721,19,4,6,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.28571429
female,111,22.2,1,9,1890,0.675675676,111,3,0.31875,0.19375,0,0.054054054,12,5,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.928571429
male,115,38.33333333,1,16,Oliver,0.686956522,115,2,0.060227273,0.327272727,0,0.086956522,6,3,5,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1875
male,160,40,1,20,Published,0.65,160,0,-0.048148148,0.392592593,0,0.025,13,6,8,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00625,11.42857143
male,149,29.8,1,9,Bloodletting,0.590604027,149,0,-0.001190476,0.314285714,0,0.006711409,16,5,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.64285714
male,107,26.75,1,9,seemingly,0.775700935,107,3,-0.092857143,0.380952381,0,0.065420561,13,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.133333333
male,107,35.66666667,1,10,essay,0.747663551,107,1,0.01,0.39,0,0.046728972,13,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.133333333
male,319,35.44444444,1,31,Britain,0.526645768,319,5,0.087152778,0.206330128,0,0.018808777,28,9,13,0,0,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.26666667
