gender,word_count,average_sentence_length,average_word_length,total_count_punctuation,most_common_words,lexical_diversity,count_foreign_words,count_wh_words,sentiment_score,subjectivity_score,count_slang,pronoun_richness,count_VERB,count_.,"count_,",count_!,count_?,count_semi_colon,count_:,count_-,count_(,count_),count_[,count_],count_{,count_},count_<,count_>,count_/,count_\,count_|,count__,count_+,count_=,count_*,count_&,count_^,count_%,count_$,count_#,count_@,count_~,count_`,pronoun_density_I,pos_statistics_mean_count
male,146,36.5,1.0,21,article,0.6027397260273972,146,0,-0.0914141414141414,0.3398989898989899,0,0.0,9,4,9,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.166666666666666
male,193,38.6,1.0,13,essay,0.538860103626943,193,3,0.057407407407407414,0.3203703703703703,0,0.031088082901554404,15,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13.785714285714286
male,154,30.8,1.0,13,1858,0.6558441558441559,154,2,0.075,0.13333333333333333,0,0.01948051948051948,18,5,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.266666666666667
female,202,50.5,1.0,24,article,0.6039603960396039,202,4,0.056944444444444436,0.37395833333333334,0,0.06435643564356436,20,4,17,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0049504950495049506,13.466666666666667
female,218,31.142857142857142,1.0,17,article,0.6422018348623854,218,7,0.22352941176470587,0.44705882352941173,0,0.03211009174311927,22,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.533333333333333
female,89,44.5,1.0,8,article,0.6966292134831461,89,2,0.029166666666666664,0.3041666666666667,0,0.011235955056179775,9,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.416666666666667
male,173,28.833333333333332,1.0,17,article,0.5780346820809249,173,3,0.10185185185185185,0.5425925925925925,0,0.05202312138728324,15,6,3,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03468208092485549,11.533333333333333
female,126,31.5,1.0,19,article,0.5873015873015873,126,0,0.003703703703703709,0.10185185185185185,0,0.047619047619047616,12,6,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.4
male,172,34.4,1.0,19,Clonmacnoise,0.5813953488372093,172,3,0.04,0.30333333333333334,0,0.08139534883720931,17,6,9,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.466666666666667
female,111,55.5,1.0,7,idea,0.7297297297297297,111,4,0.017948717948717947,0.20512820512820515,0,0.036036036036036036,10,1,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.538461538461538
