,Value
Average sentence length,33.68320610687023
Average word length,1.0
Count punctuation,906
Count particular punctuation,"{'.': 269, ',': 393, '!': 0, '?': 1, ';': 10, ':': 16, '-': 100, '(': 31, ')': 31, '[': 0, ']': 0, '{': 0, '}': 0, '<': 0, '>': 0, '/': 7, '\\': 0, '|': 0, '_': 0, '+': 0, '=': 0, '*': 0, '&': 0, '^': 0, '%': 0, '$': 0, '#': 0, '@': 0, '~': 0, '`': 0}"
Most common words,"writing       40
article       34
essay         28
students      27
century       22
Ireland       20
Irish         19
eighteenth    17
Crusoe        16
language      15
Name: count, dtype: int64"
Lexical diversity,0.2989235127478754
Word count,8825
Count foreign words,8825
Count wh words,110
Average sentiment score,0.08135665698165705
Average subjectivity score,0.3452666415166416
Count slang,24
Pronoun density,0.03444759206798867
Pronoun densities,"{'I': 0.0027195467422096316, 'you': 0.0, 'he': 0.0007932011331444759, 'she': 0.00022662889518413598, 'they': 0.00045325779036827196, 'it': 0.0019263456090651558, 'we': 0.0009065155807365439, 'them': 0.0010198300283286118, 'my': 0.00033994334277620395, 'your': 0.0, 'his': 0.0046458923512747875, 'her': 0.002379603399433428, 'their': 0.002379603399433428, 'our': 0.0005665722379603399, 'its': 0.0015864022662889518, 'us': 0.0006798866855524079, 'me': 0.0, 'him': 0.0, 'myself': 0.0, 'yourself': 0.0, 'himself': 0.00011331444759206799, 'herself': 0.00011331444759206799, 'themselves': 0.00011331444759206799, 'ourselves': 0.0}"
POS distribution,"{'DET': 0.09575070821529745, 'ADJ': 0.09722379603399434, 'NUM': 0.008951841359773371, 'PUNCT': 0.10606232294617564, 'CCONJ': 0.040339943342776206, 'ADV': 0.02198300283286119, 'PROPN': 0.07172804532577903, 'NOUN': 0.23218130311614732, 'VERB': 0.09484419263456091, 'PART': 0.026288951841359775, 'ADP': 0.12838526912181303, 'PRON': 0.03444759206798867, 'AUX': 0.0230028328611898, 'SCONJ': 0.01745042492917847, 'SYM': 0.0011331444759206798, 'X': 0.00022662889518413598}"
POS statistics,"{'mean_count': 551.5625, 'median_count': 330.0, 'std_deviation': 525.8312429798651, 'max_count': 2049, 'min_count': 2}"
