,Value
Average sentence length,36.12334801762115
Average word length,1.0
Count punctuation,879
Count particular punctuation,"{'.': 236, ',': 381, '!': 0, '?': 1, ';': 10, ':': 15, '-': 92, '(': 43, ')': 45, '[': 3, ']': 3, '{': 0, '}': 0, '<': 0, '>': 0, '/': 5, '\\': 0, '|': 0, '_': 0, '+': 0, '=': 0, '*': 0, '&': 0, '^': 0, '%': 0, '$': 0, '#': 0, '@': 0, '~': 0, '`': 0}"
Most common words,"Irish         52
article       35
century       31
Ireland       28
eighteenth    25
essay         19
work          17
British       16
time          14
language      13
Name: count, dtype: int64"
Lexical diversity,0.29792682926829267
Word count,8200
Count foreign words,8200
Count wh words,109
Average sentiment score,0.08337861280875991
Average subjectivity score,0.379452716401246
Count slang,6
Pronoun density,0.039878048780487806
Pronoun densities,"{'I': 0.003048780487804878, 'you': 0.0, 'he': 0.0008536585365853659, 'she': 0.00012195121951219512, 'they': 0.0008536585365853659, 'it': 0.0021951219512195124, 'we': 0.0010975609756097562, 'them': 0.0007317073170731707, 'my': 0.00024390243902439024, 'your': 0.0, 'his': 0.007073170731707317, 'her': 0.00036585365853658537, 'their': 0.001829268292682927, 'our': 0.0012195121951219512, 'its': 0.0024390243902439024, 'us': 0.0008536585365853659, 'me': 0.0, 'him': 0.00024390243902439024, 'myself': 0.0, 'yourself': 0.0, 'himself': 0.00024390243902439024, 'herself': 0.0, 'themselves': 0.00036585365853658537, 'ourselves': 0.0}"
POS distribution,"{'PUNCT': 0.11402439024390244, 'DET': 0.09963414634146342, 'ADJ': 0.09658536585365854, 'NOUN': 0.20670731707317072, 'ADP': 0.13853658536585367, 'CCONJ': 0.0351219512195122, 'SYM': 0.0010975609756097562, 'ADV': 0.029512195121951218, 'VERB': 0.08341463414634147, 'PROPN': 0.07829268292682927, 'PART': 0.0224390243902439, 'NUM': 0.013414634146341463, 'AUX': 0.025853658536585365, 'PRON': 0.039878048780487806, 'SCONJ': 0.013780487804878049, 'X': 0.0017073170731707317}"
POS statistics,"{'mean_count': 512.5, 'median_count': 307.5, 'std_deviation': 458.4213400355616, 'max_count': 1695, 'min_count': 9}"
